             |   0.0000E+00 |   0.1000E+02 |   0.2000E+02 |   0.3000E+02 |   0.4000E+02 |   0.5000E+02 |   0.6000E+02 |   0.7000E+02 |   0.8000E+02 |   0.9000E+02 |   0.1000E+03 |  
  0.0000E+00 |       0      |   0.1736E+00 |   0.3420E+00 |   0.5000E+00 |   0.6428E+00 |   0.7660E+00 |   0.8660E+00 |   0.9397E+00 |   0.9848E+00 |   0.1000E+01 |   0.9848E+00 |  
  0.1000E+02 |       0      |   0.1763E+00 |   0.3473E+00 |   0.5077E+00 |   0.6527E+00 |   0.7778E+00 |   0.8794E+00 |   0.9542E+00 |   0.1000E+01 |   0.1015E+01 |   0.1000E+01 |  
  0.2000E+02 |       0      |   0.1847E+00 |   0.3639E+00 |   0.5321E+00 |   0.6840E+00 |   0.8152E+00 |   0.9216E+00 |   0.1000E+01 |   0.1048E+01 |   0.1064E+01 |   0.1048E+01 |  
  0.3000E+02 |       0      |   0.2005E+00 |   0.3949E+00 |   0.5774E+00 |   0.7423E+00 |   0.8845E+00 |   0.1000E+01 |   0.1085E+01 |   0.1137E+01 |   0.1155E+01 |   0.1137E+01 |  
  0.4000E+02 |       0      |   0.2266E+00 |   0.4465E+00 |   0.6527E+00 |   0.8392E+00 |   0.1000E+01 |   0.1131E+01 |   0.1227E+01 |   0.1286E+01 |   0.1305E+01 |   0.1286E+01 |  
  0.5000E+02 |       0      |   0.2701E+00 |   0.5320E+00 |   0.7778E+00 |   0.1000E+01 |   0.1192E+01 |   0.1347E+01 |   0.1462E+01 |   0.1532E+01 |   0.1556E+01 |   0.1532E+01 |  
  0.6000E+02 |       0      |   0.3472E+00 |   0.6840E+00 |   0.1000E+01 |   0.1286E+01 |   0.1532E+01 |   0.1732E+01 |   0.1879E+01 |   0.1970E+01 |   0.2000E+01 |   0.1970E+01 |  
  0.7000E+02 |       0      |   0.5076E+00 |   0.1000E+01 |   0.1462E+01 |   0.1880E+01 |   0.2240E+01 |   0.2532E+01 |   0.2748E+01 |   0.2880E+01 |   0.2924E+01 |   0.2880E+01 |  
  0.8000E+02 |       0      |   0.1000E+01 |   0.1970E+01 |   0.2880E+01 |   0.3703E+01 |   0.4412E+01 |   0.4988E+01 |   0.5413E+01 |   0.5673E+01 |   0.5760E+01 |   0.5673E+01 |  
  0.9000E+02 |   div. by 0  |   div. by 0  |   div. by 0  |   div. by 0  |   div. by 0  |   div. by 0  |   div. by 0  |   div. by 0  |   div. by 0  |   div. by 0  |   div. by 0  |  
  0.1000E+03 |       0      |   0.1000E+01 |   0.1970E+01 |   0.2880E+01 |   0.3703E+01 |   0.4412E+01 |   0.4988E+01 |   0.5413E+01 |   0.5673E+01 |   0.5760E+01 |   0.5673E+01 |  
